home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
West Germany,Switzerland,36127,Group stage,England,1966,1966-07-12,5,0,home_win,,,,,,,,,,64.68190576923077,
Portugal,Hungary,29886,Group stage,England,1966,1966-07-13,3,1,home_win,,,,,,,,,68.66904192307692,57.00994596153846,11.659095961538455
Italy,Chile,27199,Group stage,England,1966,1966-07-13,2,0,home_win,,,,,,,,,68.45827307692308,63.52331596153847,4.934957115384606
France,Mexico,69237,Group stage,England,1966,1966-07-13,1,1,draw,,,,,,,,,69.714,64.15167115384617,5.562328846153832
Argentina,Spain,42738,Group stage,England,1966,1966-07-13,2,1,home_win,,,,,,,,,67.99343846153849,71.50423846153845,-3.5107999999999606
North Korea,Chile,13792,Group stage,England,1966,1966-07-15,1,1,draw,,,,,,,,,,63.52331596153847,
Hungary,Brazil,51387,Group stage,England,1966,1966-07-15,3,1,home_win,,,,,,,,,57.00994596153846,71.18102653846155,-14.171080576923089
Uruguay,France,45662,Group stage,England,1966,1966-07-15,2,1,home_win,,,,,,,,,65.00322653846155,69.714,-4.710773461538452
Spain,Switzerland,32028,Group stage,England,1966,1966-07-15,2,1,home_win,,,,,,,,,71.50423846153845,64.68190576923077,6.822332692307683
Soviet Union,Italy,27793,Group stage,England,1966,1966-07-16,1,0,home_win,,,,,,,,,,68.45827307692308,
West Germany,Argentina,46587,Group stage,England,1966,1966-07-16,0,0,draw,,,,,,,,,,67.99343846153849,
England,Mexico,92570,Group stage,England,1966,1966-07-16,2,0,home_win,,,,,,,,,68.18326346153846,64.15167115384617,4.031592307692293
Portugal,Bulgaria,25438,Group stage,England,1966,1966-07-16,3,0,home_win,,,,,,,,,68.66904192307692,52.81303951923076,15.856002403846155
Portugal,Brazil,58479,Group stage,England,1966,1966-07-19,3,1,home_win,,,,,,,,,68.66904192307692,71.18102653846155,-2.511984615384634
Uruguay,Mexico,61112,Group stage,England,1966,1966-07-19,0,0,draw,,,,,,,,,65.00322653846155,64.15167115384617,0.8515553846153807
North Korea,Italy,17829,Group stage,England,1966,1966-07-19,1,0,home_win,,,,,,,,,,68.45827307692308,
