home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
Sweden,Mexico,34107,Group stage,Sweden,1958,1958-06-08,3,0,home_win,,,,,,,,,62.87979807692308,64.15167115384617,-1.271873076923086,2,1,2,11,15,7,0,0,5,4,18,0,7,7,3
Brazil,Austria,17788,Group stage,Sweden,1958,1958-06-08,3,0,home_win,,,,,,,,,71.18102653846155,63.952364230769234,7.228662307692318,2,1,2,15,8,7,4,0,1,17,12,12,-5,-2,4
Mexico,Wales,15150,Group stage,Sweden,1958,1958-06-11,1,1,draw,,,,,,,,,64.15167115384617,59.99270048076925,4.158970673076915,0,0,5,4,17,0,0,1,0,1,1,1,-1,3,-16
Brazil,England,40895,Group stage,Sweden,1958,1958-06-11,0,0,draw,,,,,,,,,71.18102653846155,68.18326346153846,2.9977630769230927,2,1,2,12,7,7,1,2,2,10,11,5,2,2,4
Paraguay,Scotland,11665,Group stage,Sweden,1958,1958-06-11,3,2,home_win,,,,,,,,,61.38765480769232,62.71133875,-1.3236839423076816,1,1,3,6,14,4,0,1,2,1,9,1,3,5,-5
Yugoslavia,France,12217,Group stage,Sweden,1958,1958-06-11,3,2,home_win,,,,,,,,,,69.714,,1,2,2,3,6,5,3,0,2,14,10,9,-4,-11,4
Argentina,Northern Ireland,14174,Group stage,Sweden,1958,1958-06-11,3,1,home_win,,,,,,,,,67.99343846153849,57.40677173076923,10.58666673076926,2,0,3,14,12,6,1,0,0,1,0,3,3,13,-12
West Germany,Czechoslovakia,25000,Group stage,Sweden,1958,1958-06-11,2,2,draw,,,,,,,,,,,,1,0,0,3,1,3,0,1,4,2,11,1,2,1,10
Soviet Union,Austria,21239,Group stage,Sweden,1958,1958-06-11,2,0,home_win,,,,,,,,,,63.952364230769234,,0,1,0,2,2,1,3,0,2,16,15,9,-8,-14,13
Sweden,Hungary,38850,Group stage,Sweden,1958,1958-06-12,2,1,home_win,,,,,,,,,62.87979807692308,57.00994596153846,5.869852115384617,2,1,2,11,13,7,3,1,1,19,11,10,-3,-8,-2
West Germany,Northern Ireland,21990,Group stage,Sweden,1958,1958-06-15,2,2,draw,,,,,,,,,,57.40677173076923,,1,1,0,5,3,4,1,0,1,2,3,3,1,3,0
France,Scotland,13554,Group stage,Sweden,1958,1958-06-15,2,1,home_win,,,,,,,,,69.714,62.71133875,7.002661249999996,2,0,3,13,12,6,0,1,3,3,12,1,5,10,0
Hungary,Mexico,13300,Group stage,Sweden,1958,1958-06-15,4,0,home_win,,,,,,,,,57.00994596153846,64.15167115384617,-7.141725192307703,2,1,2,12,10,7,0,1,4,4,14,1,6,8,4
England,Austria,15872,Group stage,Sweden,1958,1958-06-15,2,2,draw,,,,,,,,,68.18326346153846,63.952364230769234,4.230899230769225,1,3,1,10,10,6,2,0,3,11,17,6,0,-1,7
